CustomerID,total_spend,order_count,avg_order_value,first_purchase_date,last_purchase_date,days_since_last_purchase,customer_tenure_days,r_score,f_score,m_score,rfm_score,value_tier
104438256,2635.09,52,50.67,2012-03-31,2013-02-23,36,365,1,2,2,5,Lower 20%
104467737,2274.72,94,24.2,2012-03-05,2013-03-29,2,391,4,4,2,10,Lower 20%
104527629,1919.72,110,17.45,2012-03-03,2013-03-25,6,393,3,5,2,10,Lower 20%
104593845,10512.71,89,118.12,2012-03-02,2013-03-30,1,394,4,4,5,13,Top 20%
104712916,3878.42,165,23.51,2012-03-03,2013-03-29,2,393,4,5,3,12,Middle 20%
104725595,2784.12,26,107.08,2012-03-03,2013-03-16,15,393,1,1,3,5,Middle 20%
104729222,3154.25,69,45.71,2012-03-03,2013-03-28,3,393,3,3,3,9,Middle 20%
104771506,2111.26,78,27.07,2012-03-11,2013-03-29,2,385,4,4,2,10,Lower 20%
104780124,3140.2,71,44.23,2012-03-11,2013-03-31,0,385,5,3,3,11,Middle 20%
104845038,7739.75,217,35.67,2012-03-03,2013-03-23,8,393,2,5,5,12,Top 20%
104859546,5085.17,78,65.19,2012-03-02,2013-03-15,16,394,1,4,4,9,Upper 20%
105038633,2384.43,105,22.71,2012-03-04,2013-03-31,0,392,5,4,2,11,Lower 20%
105131075,2117.28,40,52.93,2012-03-11,2013-03-29,2,385,4,2,2,8,Lower 20%
105244659,3301.87,51,64.74,2012-03-12,2013-03-26,5,384,3,2,3,8,Middle 20%
105251448,1870.63,32,58.46,2012-03-04,2013-03-29,2,392,4,1,2,7,Lower 20%
105621464,2927.43,76,38.52,2012-03-07,2013-03-31,0,389,5,3,3,11,Middle 20%
105667251,2325.22,39,59.62,2012-04-21,2013-03-24,7,344,2,2,2,6,Lower 20%
105761770,5106.9,108,47.29,2012-03-05,2013-03-23,8,391,2,4,4,10,Upper 20%
106082651,7814.1,60,130.23,2012-03-07,2013-03-24,7,389,2,3,5,10,Top 20%
106114302,733.17,25,29.33,2012-03-02,2013-03-22,9,394,2,1,1,4,Bottom 20%
106122486,397.8,20,19.89,2012-04-08,2013-03-17,14,357,1,1,1,3,Bottom 20%
106389272,5880.67,67,87.77,2012-03-04,2013-03-31,0,392,5,3,4,12,Upper 20%
106477622,1595.06,40,39.88,2012-03-09,2013-03-14,17,387,1,2,2,5,Lower 20%
106478614,5388.93,57,94.54,2012-03-07,2013-03-24,7,389,2,3,4,9,Upper 20%
106508405,2780.05,77,36.1,2012-03-03,2013-03-30,1,393,4,4,3,11,Middle 20%
106533701,1070.89,41,26.12,2012-04-03,2013-03-26,5,362,3,2,1,6,Bottom 20%
106739572,1140.43,49,23.27,2012-03-07,2013-03-23,8,389,2,2,1,5,Bottom 20%
106828914,4163.64,99,42.06,2012-03-03,2013-03-27,4,393,3,4,4,11,Upper 20%
107022385,7481.72,154,48.58,2012-03-05,2013-03-27,4,391,3,5,5,13,Top 20%
107177571,3738.54,60,62.31,2012-03-09,2013-03-21,10,387,2,3,3,8,Middle 20%
107201906,4757.23,42,113.27,2012-03-11,2013-03-20,11,385,2,2,4,8,Upper 20%
107239168,3565.01,53,67.26,2012-03-05,2013-03-25,6,391,3,2,3,8,Middle 20%
107320698,3122.71,115,27.15,2012-03-04,2013-03-31,0,392,5,5,3,13,Middle 20%
107328386,2466.03,53,46.53,2012-03-13,2013-03-20,11,383,2,2,2,6,Lower 20%
107480689,3903.58,40,97.59,2012-03-06,2013-03-16,15,390,1,2,3,6,Middle 20%
107499940,12342.57,76,162.4,2012-03-13,2013-03-21,10,383,2,3,5,10,Top 20%
107526414,1009.22,55,18.35,2012-03-14,2013-03-30,1,382,4,2,1,7,Bottom 20%
107675183,806.2,43,18.75,2012-11-02,2013-03-28,3,149,3,2,1,6,Bottom 20%
107692605,2420.52,45,53.79,2012-03-23,2013-03-25,6,373,3,2,2,7,Lower 20%
107734734,2168.2,40,54.2,2012-03-03,2013-03-30,1,393,4,2,2,8,Lower 20%
107770818,1653.91,33,50.12,2012-03-31,2013-03-05,26,365,1,1,2,4,Lower 20%
107784706,4344.56,112,38.79,2012-03-04,2013-03-29,2,392,4,5,4,13,Upper 20%
107795122,2342.84,102,22.97,2012-03-05,2013-03-30,1,391,4,4,2,10,Lower 20%
107859354,1610.35,28,57.51,2012-03-03,2013-03-01,30,393,1,1,2,4,Lower 20%
107895500,168.87,4,42.22,2013-02-28,2013-03-06,25,31,1,1,1,3,Bottom 20%
108005209,1194.49,60,19.91,2012-04-03,2013-03-19,12,362,1,3,1,5,Bottom 20%
108007968,3479.02,80,43.49,2012-03-03,2013-03-23,8,393,2,4,3,9,Middle 20%
108052050,5642.26,206,27.39,2012-03-02,2013-03-23,8,394,2,5,4,11,Upper 20%
108118111,9002.06,98,91.86,2012-03-06,2013-03-30,1,390,4,4,5,13,Top 20%
108147437,4811.55,103,46.71,2012-03-02,2013-03-31,0,394,5,4,4,13,Upper 20%
108223480,11442.87,276,41.46,2012-03-04,2013-03-31,0,392,5,5,5,15,Top 20%
108229463,1650.53,35,47.16,2012-03-03,2013-03-30,1,393,4,1,2,7,Lower 20%
108335607,1125.83,35,32.17,2012-03-04,2013-02-18,41,392,1,1,1,3,Bottom 20%
108373985,2755.8,55,50.11,2012-03-16,2013-03-29,2,380,4,2,3,9,Middle 20%
108457530,8416.78,131,64.25,2012-03-02,2013-03-30,1,394,4,5,5,14,Top 20%
108744249,1162.18,56,20.75,2012-03-07,2013-03-29,2,389,4,3,1,8,Bottom 20%
108751100,758.1,32,23.69,2012-03-02,2013-03-23,8,394,2,1,1,4,Bottom 20%
108801444,3967.62,111,35.74,2012-03-02,2013-03-30,1,394,4,5,3,12,Middle 20%
108888027,10512.22,160,65.7,2012-03-07,2013-03-30,1,389,4,5,5,14,Top 20%
109072167,5530.55,91,60.78,2012-03-04,2013-03-27,4,392,3,4,4,11,Upper 20%
109364125,1258.55,50,25.17,2012-03-02,2013-03-29,2,394,4,2,1,7,Bottom 20%
109731785,2336.15,72,32.45,2012-03-07,2013-03-21,10,389,2,3,2,7,Lower 20%
109914437,429.18,34,12.62,2012-05-04,2013-03-30,1,331,4,1,1,6,Bottom 20%
110202923,2987.5,101,29.58,2012-03-02,2013-03-30,1,394,4,4,3,11,Middle 20%
111050339,2659.82,68,39.11,2012-03-02,2013-03-30,1,394,4,3,3,10,Middle 20%
112863033,7862.14,100,78.62,2012-03-03,2013-03-31,0,393,5,4,5,14,Top 20%
113179140,3757.35,120,31.31,2012-03-03,2013-03-31,0,393,5,5,3,13,Middle 20%
113413717,6410.68,77,83.26,2012-03-09,2013-03-25,6,387,3,4,5,12,Top 20%
113437587,676.85,26,26.03,2012-03-31,2013-03-29,2,365,4,1,1,6,Bottom 20%
113538430,282.58,19,14.87,2012-03-04,2013-03-05,26,392,1,1,1,3,Bottom 20%
114334634,3705.21,87,42.59,2012-04-16,2013-03-30,1,349,4,4,3,11,Middle 20%
114432873,307.84,6,51.31,2012-09-14,2013-03-28,3,198,3,1,1,5,Bottom 20%
114851435,450.08,32,14.06,2012-03-07,2013-03-16,15,389,1,1,1,3,Bottom 20%
115105511,103.4,7,14.77,2012-07-01,2013-01-27,63,273,1,1,1,3,Bottom 20%
115118004,4317.11,89,48.51,2012-03-02,2013-03-22,9,394,2,4,4,10,Upper 20%
115858253,2903.76,55,52.8,2012-04-05,2013-03-22,9,360,2,2,3,7,Middle 20%
116023142,10281.72,74,138.94,2012-03-06,2013-03-26,5,390,3,3,5,11,Top 20%
116175538,6457.49,75,86.1,2012-03-04,2013-03-29,2,392,4,3,5,12,Top 20%
116284782,1128.67,42,26.87,2012-03-09,2013-03-30,1,387,4,2,1,7,Bottom 20%
116579034,4845.33,67,72.32,2012-03-02,2013-03-31,0,394,5,3,4,12,Upper 20%
117114807,9245.18,96,96.3,2012-03-05,2013-03-30,1,391,4,4,5,13,Top 20%
117499083,1582.16,89,17.78,2012-03-03,2013-03-31,0,393,5,4,2,11,Lower 20%
117673892,1908.83,202,9.45,2012-03-02,2013-03-31,0,394,5,5,2,12,Lower 20%
117741472,5164.7,98,52.7,2012-03-09,2013-03-31,0,387,5,4,4,13,Upper 20%
117758553,7271.66,168,43.28,2012-03-02,2013-03-30,1,394,4,5,5,14,Top 20%
117887172,4551.97,63,72.25,2012-03-05,2013-03-25,6,391,3,3,4,10,Upper 20%
118204643,4324.07,36,120.11,2012-03-09,2013-03-20,11,387,2,2,4,8,Upper 20%
118714872,6197.71,127,48.8,2012-03-04,2013-03-30,1,392,4,5,5,14,Top 20%
118791163,3269.01,100,32.69,2012-04-02,2013-03-27,4,363,3,4,3,10,Middle 20%
119325913,2948.92,101,29.2,2012-03-10,2013-03-24,7,386,2,4,3,9,Middle 20%
119369344,7088.18,27,262.53,2012-03-03,2013-03-21,10,393,2,1,5,8,Top 20%
119431282,22100.16,161,137.27,2012-03-03,2013-03-23,8,393,2,5,5,12,Top 20%
119941945,1902.52,68,27.98,2012-03-09,2013-03-31,0,387,5,3,2,10,Lower 20%
120057327,2833.61,149,19.02,2012-03-10,2013-03-29,2,386,4,5,3,12,Middle 20%
120139105,2070.09,50,41.4,2012-03-17,2013-03-17,14,379,1,2,2,5,Lower 20%
120737870,16228.39,174,93.27,2012-03-02,2013-03-30,1,394,4,5,5,14,Top 20%
120801296,2175.91,104,20.92,2012-03-03,2013-03-31,0,393,5,4,2,11,Lower 20%
120854182,5193.03,96,54.09,2012-03-02,2013-03-21,10,394,2,4,4,10,Upper 20%
120921669,3259.55,158,20.63,2012-03-05,2013-03-24,7,391,2,5,3,10,Middle 20%
120965782,2993.75,113,26.49,2012-03-09,2013-03-31,0,387,5,5,3,13,Middle 20%
120966557,2063.44,111,18.59,2012-03-02,2013-03-31,0,394,5,5,2,12,Lower 20%
121006299,4782.72,68,70.33,2012-03-07,2013-03-29,2,389,4,3,4,11,Upper 20%
121008314,4297.71,320,13.43,2012-03-02,2013-03-31,0,394,5,5,4,14,Upper 20%
121040833,3228.92,106,30.46,2012-03-02,2013-03-30,1,394,4,4,3,11,Middle 20%
121052148,4015.12,54,74.35,2012-03-03,2013-03-30,1,393,4,2,4,10,Upper 20%
121059898,6686.08,110,60.78,2012-03-04,2013-03-17,14,392,1,5,5,11,Top 20%
121072019,4811.96,94,51.19,2012-03-07,2013-03-21,10,389,2,4,4,10,Upper 20%
121129555,6186.27,201,30.78,2012-03-03,2013-03-30,1,393,4,5,5,14,Top 20%
121132686,7762.77,148,52.45,2012-03-04,2013-03-29,2,392,4,5,5,14,Top 20%
121138576,3910.82,166,23.56,2012-03-07,2013-03-27,4,389,3,5,3,11,Middle 20%
121180302,17774.08,205,86.7,2012-03-03,2013-03-31,0,393,5,5,5,15,Top 20%
121206249,4566.85,149,30.65,2012-03-03,2013-03-31,0,393,5,5,4,14,Upper 20%
121257523,4887.47,133,36.75,2012-03-04,2013-03-23,8,392,2,5,4,11,Upper 20%
121316919,5579.62,97,57.52,2012-03-08,2013-03-17,14,388,1,4,4,9,Upper 20%
121355576,4392.18,93,47.23,2012-03-02,2013-03-30,1,394,4,4,4,12,Upper 20%
121387475,2917.52,74,39.43,2012-03-03,2013-03-27,4,393,3,3,3,9,Middle 20%
121437540,3843.74,62,62.0,2012-03-03,2013-03-25,6,393,3,3,3,9,Middle 20%
121442562,5860.83,105,55.82,2012-03-07,2013-03-08,23,389,1,4,4,9,Upper 20%
121450312,4265.66,114,37.42,2012-03-05,2013-03-26,5,391,3,5,4,12,Upper 20%
121508902,4936.64,94,52.52,2012-03-03,2013-03-30,1,393,4,4,4,12,Upper 20%
121541669,1237.18,50,24.74,2012-03-08,2013-03-29,2,388,4,2,1,7,Bottom 20%
121559060,5014.31,59,84.99,2012-03-06,2013-03-05,26,390,1,3,4,8,Upper 20%
121591269,10179.14,121,84.13,2012-03-04,2013-03-30,1,392,4,5,5,14,Top 20%
121699459,4251.61,91,46.72,2012-03-02,2013-03-28,3,394,3,4,4,11,Upper 20%
121761955,4057.58,132,30.74,2012-03-02,2013-03-31,0,394,5,5,4,14,Upper 20%
121766853,5303.58,147,36.08,2012-03-03,2013-03-30,1,393,4,5,4,13,Upper 20%
121775254,2286.51,46,49.71,2012-03-04,2013-03-20,11,392,2,2,2,6,Lower 20%
121817941,2395.47,90,26.62,2012-03-04,2013-03-29,2,392,4,4,2,10,Lower 20%
121885831,9688.97,192,50.46,2012-03-09,2013-03-31,0,387,5,5,5,15,Top 20%
121934811,9176.44,242,37.92,2012-03-03,2013-03-23,8,393,2,5,5,12,Top 20%
121943925,4383.17,141,31.09,2012-03-02,2013-03-26,5,394,3,5,4,12,Upper 20%
121968322,4114.31,147,27.99,2012-03-04,2013-03-31,0,392,5,5,4,14,Upper 20%
121969252,1973.23,87,22.68,2012-03-02,2013-03-29,2,394,4,4,2,10,Lower 20%
122009025,616.81,42,14.69,2012-03-09,2013-03-19,12,387,1,2,1,4,Bottom 20%
122013210,748.9,52,14.4,2012-03-02,2013-03-22,9,394,2,2,1,5,Bottom 20%
122019379,9329.21,258,36.16,2012-03-04,2013-03-31,0,392,5,5,5,15,Top 20%
122024959,1292.97,31,41.71,2012-03-04,2013-03-29,2,392,4,1,1,6,Bottom 20%
122056455,5448.53,162,33.63,2012-03-03,2013-03-30,1,393,4,5,4,13,Upper 20%
122056951,8020.5,195,41.13,2012-03-02,2013-03-30,1,394,4,5,5,14,Top 20%
122191460,5339.03,171,31.22,2012-03-04,2013-03-24,7,392,2,5,4,11,Upper 20%
122203302,4344.53,98,44.33,2012-03-03,2013-03-30,1,393,4,4,4,12,Upper 20%
122237898,5333.41,68,78.43,2012-03-02,2013-03-24,7,394,2,3,4,9,Upper 20%
122245431,5573.13,118,47.23,2012-03-09,2013-03-30,1,387,4,5,4,13,Upper 20%
122276462,2111.35,95,22.22,2012-03-06,2013-03-28,3,390,3,4,2,9,Lower 20%
122300208,1786.76,75,23.82,2012-03-03,2013-03-29,2,393,4,3,2,9,Lower 20%
122339888,7441.75,97,76.72,2012-03-04,2013-03-31,0,392,5,4,5,14,Top 20%
122353435,11601.8,204,56.87,2012-03-02,2013-03-24,7,394,2,5,5,12,Top 20%
122356225,1919.29,100,19.19,2012-03-09,2013-03-29,2,387,4,4,2,10,Lower 20%
123147345,11141.42,177,62.95,2012-03-02,2013-03-31,0,394,5,5,5,15,Top 20%
123153328,5314.89,70,75.93,2012-03-02,2013-03-29,2,394,4,3,4,11,Upper 20%
123275437,5162.04,130,39.71,2012-03-02,2013-03-20,11,394,2,5,4,11,Upper 20%
123349248,1655.43,79,20.95,2012-03-10,2013-03-31,0,386,5,4,2,11,Lower 20%
123354208,2667.08,41,65.05,2012-03-04,2013-03-14,17,392,1,2,3,6,Middle 20%
123361958,5589.21,180,31.05,2012-03-06,2013-03-24,7,390,2,5,4,11,Upper 20%
123373242,2190.85,94,23.31,2012-03-02,2013-03-31,0,394,5,4,2,11,Lower 20%
123417541,7693.23,181,42.5,2012-03-02,2013-03-30,1,394,4,5,5,14,Top 20%
123446402,1768.7,70,25.27,2012-03-02,2013-03-22,9,394,2,3,2,7,Lower 20%
123515811,5180.59,76,68.17,2012-03-04,2013-03-30,1,392,4,3,4,11,Upper 20%
123672454,13073.09,241,54.25,2012-03-03,2013-03-24,7,393,2,5,5,12,Top 20%
123703082,7105.46,143,49.69,2012-03-02,2013-03-19,12,394,1,5,5,11,Top 20%
123736779,7037.56,128,54.98,2012-03-08,2013-03-31,0,388,5,5,5,15,Top 20%
123792765,5408.86,101,53.55,2012-03-08,2013-03-16,15,388,1,4,4,9,Upper 20%
123802127,4228.41,207,20.43,2012-03-02,2013-03-30,1,394,4,5,4,13,Upper 20%
123836971,4326.02,113,38.28,2012-03-03,2013-03-30,1,393,4,5,4,13,Upper 20%
123910658,6151.28,123,50.01,2012-03-02,2013-03-24,7,394,2,5,5,12,Top 20%
123948602,2241.65,131,17.11,2012-03-03,2013-03-31,0,393,5,5,2,12,Lower 20%
123964567,3452.43,215,16.06,2012-03-05,2013-03-29,2,391,4,5,3,12,Middle 20%
124015407,5473.11,73,74.97,2012-03-03,2013-03-23,8,393,2,3,4,9,Upper 20%
124072850,2128.6,78,27.29,2012-03-08,2013-03-21,10,388,2,4,2,8,Lower 20%
124100874,1364.38,113,12.07,2012-03-10,2013-03-24,7,386,2,5,1,8,Bottom 20%
124153109,5757.07,143,40.26,2012-03-06,2013-03-30,1,390,4,5,4,13,Upper 20%
124160921,8524.37,98,86.98,2012-03-05,2013-03-30,1,391,4,4,5,13,Top 20%
124196571,5012.84,104,48.2,2012-03-05,2013-03-28,3,391,3,4,4,11,Upper 20%
124211606,3289.23,75,43.86,2012-03-07,2013-03-16,15,389,1,3,3,7,Middle 20%
124221433,2371.69,81,29.28,2012-03-03,2013-03-29,2,393,4,4,2,10,Lower 20%
124253084,2839.95,111,25.59,2012-03-02,2013-03-22,9,394,2,5,3,10,Middle 20%
124330925,9834.14,281,35.0,2012-03-02,2013-03-24,7,394,2,5,5,12,Top 20%
124352687,4750.17,50,95.0,2012-03-08,2013-03-24,7,388,2,2,4,8,Upper 20%
124371597,5266.58,132,39.9,2012-03-03,2013-03-24,7,393,2,5,4,11,Upper 20%
124372093,7730.07,170,45.47,2012-03-02,2013-03-31,0,394,5,5,5,15,Top 20%
124425847,8201.8,230,35.66,2012-03-03,2013-03-23,8,393,2,5,5,12,Top 20%
124554869,1280.99,37,34.62,2012-03-12,2013-03-31,0,384,5,2,1,8,Bottom 20%
124569408,3134.89,98,31.99,2012-03-02,2013-03-30,1,394,4,4,3,11,Middle 20%
124743535,5744.83,204,28.16,2012-03-02,2013-03-23,8,394,2,5,4,11,Upper 20%
124759376,3449.56,47,73.39,2012-03-02,2013-03-29,2,394,4,2,3,9,Middle 20%
124775744,2468.34,84,29.38,2012-03-04,2013-03-24,7,392,2,4,2,8,Lower 20%
124856623,1160.29,15,77.35,2012-03-12,2013-03-28,3,384,3,1,1,5,Bottom 20%
124865892,5742.35,113,50.82,2012-03-03,2013-03-26,5,393,3,5,4,12,Upper 20%
124896365,4275.05,94,45.48,2012-03-03,2013-03-23,8,393,2,4,4,10,Upper 20%
124910718,10164.06,98,103.71,2012-03-04,2013-03-29,2,392,4,4,5,13,Top 20%
124912454,4647.08,60,77.45,2012-03-06,2013-03-28,3,390,3,3,4,10,Upper 20%
125038934,10333.8,205,50.41,2012-03-02,2013-03-29,2,394,4,5,5,14,Top 20%
125069407,5227.24,135,38.72,2012-03-03,2013-03-24,7,393,2,5,4,11,Upper 20%
125084163,2977.13,138,21.57,2012-03-03,2013-03-30,1,393,4,5,3,12,Middle 20%
125106607,2887.83,115,25.11,2012-03-02,2013-03-29,2,394,4,5,3,12,Middle 20%
125115101,3932.32,65,60.5,2012-03-02,2013-03-22,9,394,2,3,3,8,Middle 20%
125122045,5865.75,93,63.07,2012-03-07,2013-03-30,1,389,4,4,4,12,Upper 20%
125145481,1652.75,125,13.22,2012-03-08,2013-03-30,1,388,4,5,2,11,Lower 20%
125164577,5058.56,118,42.87,2012-03-02,2013-03-30,1,394,4,5,4,13,Upper 20%
125202738,6326.39,63,100.42,2012-03-06,2013-03-29,2,390,4,3,5,12,Top 20%
125215231,7377.6,229,32.22,2012-03-04,2013-03-30,1,392,4,5,5,14,Top 20%
125243565,8526.21,153,55.73,2012-03-04,2013-03-28,3,392,3,5,5,13,Top 20%
125271186,2049.88,62,33.06,2012-03-14,2013-03-26,5,382,3,3,2,8,Lower 20%
125271465,3750.13,85,44.12,2012-03-02,2013-03-30,1,394,4,4,3,11,Middle 20%
125313408,4137.64,175,23.64,2012-03-05,2013-03-29,2,391,4,5,4,13,Upper 20%
125350887,5592.68,177,31.6,2012-03-03,2013-03-30,1,393,4,5,4,13,Upper 20%
125379097,1529.12,77,19.86,2012-03-11,2013-03-31,0,385,5,4,2,11,Lower 20%
